"Feature"	"Description"	"Median_D"	"SD_D"	"Median_rate_loss"	"SD_rate_loss"	"Median_rate_gain"	"SD_rate_gain"	"LogLikelihood"	"AICc"	"p1_turkic"	"p1_mongolic"	"p1_tungusic"	"p1_koreanic"	"p1_japonic"
"GB020"	"Are there definite or specific articles?"	0.97	0.15	12.05	25.46	0.61	22.17	-11.95	27.92	0.04	0.05	0.05	0.04	0.04
"GB021"	"Do indefinite nominals commonly have indefinite articles?"	0.8	0.26	0.02	27.3	0.02	23.73	Inf	24.33	0	0	0	0	0
"GB022"	"Are there prenominal articles?"	0.56	0.08	12.87	25.33	4.22	21.11	Inf	71.43	0.29	0.24	0.25	0.19	0.22
"GB023"	"Are there postnominal articles?"	0.11	0.14	1.63	24.68	0.11	20.37	-13.32	30.69	0.04	0.07	0.04	0.02	0.04
"GB026"	"Can adnominal property words occur discontinuously?"	-0.08	0.19	0.42	25.34	0.12	21.13	-14.05	32.46	0.57	0.17	0.85	0.31	0.14
"GB027"	"Are nominal conjunction and comitative expressed by different elements?"	0.74	0.13	86.25	19.75	81.46	20.03	-24.05	52.7	0.49	0.49	0.49	0.42	0.48
"GB028"	"Is there an inclusive/exclusive distinction?"	-0.14	0.12	0.45	22.97	0	21.29	-24.54	52.87	0.32	1	0.99	0.1	0.25
"GB030"	"Is there a gender distinction in independent 3rd person pronouns?"	-0.39	1.05	0	25.39	0	21.74	Inf	13.86	0	0	0	0	0
"GB031"	"Is there a dual or unit augmented form (in addition to plural or augmented) for all person categories in the pronoun system?"	-0.2	0.52	0.02	22.01	0.03	19.31	Inf	23.98	0.01	0.01	0.01	0	0.01
"GB035"	"Are there three or more distance contrasts in demonstratives?"	0.15	0.09	0.56	23.05	0.28	20.82	-32.54	69.22	0.65	0.21	0.2	0.86	0.72
"GB036"	"Do demonstratives show an elevation distinction?"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"GB037"	"Do demonstratives show a visible-nonvisible distinction?"	1.52	0.63	9.17	23.17	0.29	20.23	Inf	21.18	0.02	0.02	0.02	0.02	0.02
"GB038"	"Are there demonstrative classifiers?"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"GB039"	"Is there nonphonological allomorphy of noun number markers?"	0.15	0.09	0.72	24.22	0.24	22.14	-29.06	61.87	0.19	0.62	0.26	0.69	0.42
"GB041"	"Are there several nouns (more than three) which are suppletive for number?"	-1.4	2.32	0	25.4	0	22.87	Inf	12.56	0	0	0	0	0
"GB042"	"Is there productive overt morphological singular marking on nouns?"	1.73	0.65	0	24.34	0	20.21	Inf	15.74	0	0	0	0	0
"GB043"	"Is there productive morphological dual marking on nouns?"	1.68	0.66	0	24.29	0	21.73	Inf	15.87	0	0	0	0	0
"GB044"	"Is there productive morphological plural marking on nouns?"	0.3	0.09	0.33	20.71	0.78	18.69	-32.73	70.12	0.81	0.75	0.63	0.58	0.43
"GB046"	"Is there an associative plural marker for nouns?"	-0.02	0.25	0.15	25.72	0.57	22.24	-13	30.31	0.93	0.81	0.93	0.71	0.89
"GB047"	"Is there a productive morphological pattern for deriving an action/state noun from a verb?"	-0.22	0.38	0.06	23.5	0	21.31	-9.5	23.09	1	1	1	1	1
"GB048"	"Is there a productive morphological pattern for deriving an agent noun from a verb?"	0.65	0.12	3.45	20.75	18.22	19.71	-16.52	37.31	0.84	0.85	0.85	0.81	0.84
"GB049"	"Is there a productive morphological pattern for deriving an object noun from a verb?"	0.22	0.24	0.09	25.73	0	22.04	-13.63	31.51	0.98	0.98	0.98	0.99	0.79
"GB051"	"Is there a noun class/gender system where sex is a factor in class assignment?"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
