Tree,Model,Feature,LogLikelihood,AICc,q01,q10
445,ER,GB020,-15.0898030236516,32.2474026574727,0.0476399680514222,0.0476399680514222
445,ARD,GB020,-11.8343513397399,27.8755992312039,0.452992434415949,8.55262131860779
445,ER,GB021,-9.04658494633855,20.1609665028466,0.0262313663377623,0.0262313663377623
445,ARD,GB021,-8.40761270365239,21.0221219590289,0.0810324511210707,1.99983372647974
445,ER,GB022,-36.2831252911813,74.634047192532,0.445597884096748,0.445597884096748
445,ARD,GB022,-32.7806063100865,69.7681091718971,0.631492920275204,1.74236236772088
445,ER,GB023,-15.1756515864716,32.4190997831126,0.0478623918416426,0.0478623918416426
445,ARD,GB023,-13.9841776147292,32.1752517811825,0.14168519626487,2.00588163620833
445,ER,GB026,-18.3119292610227,38.691655132215,0.183221678618382,0.183221678618382
445,ARD,GB026,-16.0121375582544,36.231171668233,0.202777477056323,0.781391033870495
445,ER,GB027,-24.0977267635385,50.2632501372464,4.46705802042203,4.46705802042203
445,ARD,GB027,-24.0621678015108,52.3312321547458,4.00905077257053,4.40672604184062
445,ER,GB028,-31.6485148594354,65.3648263290402,0.192070993913103,0.192070993913103
445,ARD,GB028,-25.4854505422107,55.1777976361454,0.02193369418265,0.566984907288194
445,ER,GB030,-3.27358552622272,8.61496766261493,7.58256042791191e-10,7.58256042791191e-10
445,ARD,GB030,-3.27358552622272,10.7540676041696,7.58256042791191e-10,7.58256042791191e-10
445,ER,GB031,-9.6850938710354,21.4379843522403,0.0287948708883236,0.0287948708883236
445,ARD,GB031,-9.32393619967013,22.8547689510644,0.0539217013330726,0.814001359280593
445,ER,GB035,-34.4156053303627,70.8990072708949,0.421698983335811,0.421698983335811
445,ARD,GB035,-35.8716558503031,75.9502082523303,51.3582045312646,100
445,ER,GB037,-9.58617150259109,21.2401396153517,0.0281854509194188,0.0281854509194188
445,ARD,GB037,-8.29794520593031,20.8027869635848,0.10937846560224,2.60351561404082
445,ER,GB039,-29.2404530102211,60.5487026306117,0.294986004829882,0.294986004829882
445,ARD,GB039,-26.1970201379399,56.600936827604,0.239098674077938,0.784307976869891
445,ER,GB041,-4.7946796264339,11.6571558630373,7.58256042791191e-10,7.58256042791191e-10
445,ARD,GB041,-4.7946796264339,13.7962558045919,7.58256042791191e-10,7.58256042791191e-10
445,ER,GB042,-5.0816030057299,12.2310026216293,7.58256042791191e-10,7.58256042791191e-10
445,ARD,GB042,-5.0816030057299,14.3701025631839,7.58256042791191e-10,7.58256042791191e-10
445,ER,GB043,-4.67355652069165,11.4149096515528,7.58256042791191e-10,7.58256042791191e-10
445,ARD,GB043,-4.67355652069165,13.5540095931074,7.58256042791191e-10,7.58256042791191e-10
