Tree,Model,Feature,LogLikelihood,AICc,Clade,p0,p1
19,ER,GB020,-14.2172543183206,30.5023052468108,Turkic,0.999974473521105,2.55264788949051e-05
19,ER,GB020,-14.2172543183206,30.5023052468108,Tungusic,0.9999887992422,1.12007578002695e-05
19,ER,GB020,-14.2172543183206,30.5023052468108,Mongolic,0.999983425682996,1.65743170038548e-05
19,ER,GB020,-14.2172543183206,30.5023052468108,Japonic,0.999991597771255,8.40222874484211e-06
19,ER,GB020,-14.2172543183206,30.5023052468108,Koreanic,0.999955349633741,4.46503662585132e-05
19,ARD,GB020,-11.7422244499458,27.6913454516158,Turkic,0.947517478895821,0.0524825211041784
19,ARD,GB020,-11.7422244499458,27.6913454516158,Tungusic,0.946938854320391,0.0530611456796088
19,ARD,GB020,-11.7422244499458,27.6913454516158,Mongolic,0.947307681100634,0.052692318899366
19,ARD,GB020,-11.7422244499458,27.6913454516158,Japonic,0.948611454717225,0.0513885452827749
19,ARD,GB020,-11.7422244499458,27.6913454516158,Koreanic,0.963337013830346,0.036662986169654
19,ER,GB021,-8.71065198221548,19.4891005746004,Turkic,0.999996124659002,3.87534099844653e-06
19,ER,GB021,-8.71065198221548,19.4891005746004,Tungusic,0.999911268138504,8.87318614957995e-05
19,ER,GB021,-8.71065198221548,19.4891005746004,Mongolic,0.999997537376785,2.4626232148851e-06
19,ER,GB021,-8.71065198221548,19.4891005746004,Japonic,0.99999870619108,1.29380891980885e-06
19,ER,GB021,-8.71065198221548,19.4891005746004,Koreanic,0.999992799357983,7.20064201695911e-06
19,ARD,GB021,-8.70517699927055,21.6172505502652,Turkic,0.999999223617153,7.76382847370759e-07
19,ARD,GB021,-8.70517699927055,21.6172505502652,Tungusic,0.999981462047472,1.85379525283977e-05
19,ARD,GB021,-8.70517699927055,21.6172505502652,Mongolic,0.999999538172149,4.61827851404842e-07
19,ARD,GB021,-8.70517699927055,21.6172505502652,Japonic,0.999999739648687,2.60351313367089e-07
19,ARD,GB021,-8.70517699927055,21.6172505502652,Koreanic,0.999998490580061,1.50941993914356e-06
19,ER,GB022,-36.9082779468682,75.8843525039058,Turkic,0.535967847992678,0.464032152007322
19,ER,GB022,-36.9082779468682,75.8843525039058,Tungusic,0.904733453257116,0.0952665467428836
19,ER,GB022,-36.9082779468682,75.8843525039058,Mongolic,0.871982887553186,0.128017112446814
19,ER,GB022,-36.9082779468682,75.8843525039058,Japonic,0.964808635860234,0.0351913641397657
19,ER,GB022,-36.9082779468682,75.8843525039058,Koreanic,0.972528206698404,0.0274717933015958
19,ARD,GB022,-33.1257519393374,70.458400430399,Turkic,0.737293981944891,0.262706018055109
19,ARD,GB022,-33.1257519393374,70.458400430399,Tungusic,0.737296149331424,0.262703850668576
19,ARD,GB022,-33.1257519393374,70.458400430399,Mongolic,0.737294228627463,0.262705771372537
19,ARD,GB022,-33.1257519393374,70.458400430399,Japonic,0.737326743072857,0.262673256927143
19,ARD,GB022,-33.1257519393374,70.458400430399,Koreanic,0.753718346395908,0.246281653604092
19,ER,GB023,-13.5207293980423,29.1092554062541,Turkic,0.999975136706069,2.48632939306199e-05
19,ER,GB023,-13.5207293980423,29.1092554062541,Tungusic,0.999989086830244,1.09131697557506e-05
19,ER,GB023,-13.5207293980423,29.1092554062541,Mongolic,0.999979914398443,2.00856015571609e-05
19,ER,GB023,-13.5207293980423,29.1092554062541,Japonic,0.999991814114213,8.18588578746047e-06
19,ER,GB023,-13.5207293980423,29.1092554062541,Koreanic,0.99995646104339,4.35389566102372e-05
19,ARD,GB023,-12.7013647333844,29.6096260184929,Turkic,0.966770513288772,0.0332294867112282
19,ARD,GB023,-12.7013647333844,29.6096260184929,Tungusic,0.940899188686651,0.0591008113133487
19,ARD,GB023,-12.7013647333844,29.6096260184929,Mongolic,0.896844516318644,0.103155483681356
19,ARD,GB023,-12.7013647333844,29.6096260184929,Japonic,0.978655728181421,0.0213442718185793
19,ARD,GB023,-12.7013647333844,29.6096260184929,Koreanic,0.98766245432769,0.0123375456723105
19,ER,GB026,-15.179331926856,32.4264604638816,Turkic,0.925230392477865,0.0747696075221347
19,ER,GB026,-15.179331926856,32.4264604638816,Tungusic,0.0941695934674008,0.905830406532599
19,ER,GB026,-15.179331926856,32.4264604638816,Mongolic,0.941827552889531,0.0581724471104687
19,ER,GB026,-15.179331926856,32.4264604638816,Japonic,0.998838717221588,0.0011612827784115
19,ER,GB026,-15.179331926856,32.4264604638816,Koreanic,0.675068873837874,0.324931126162126
19,ARD,GB026,-14.3606463448281,32.9281892413803,Turkic,0.590073504988846,0.409926495011154
19,ARD,GB026,-14.3606463448281,32.9281892413803,Tungusic,0.0545528336686519,0.945447166331348
19,ARD,GB026,-14.3606463448281,32.9281892413803,Mongolic,0.734031715345815,0.265968284654185
19,ARD,GB026,-14.3606463448281,32.9281892413803,Japonic,0.981087617582662,0.0189123824173381
19,ARD,GB026,-14.3606463448281,32.9281892413803,Koreanic,0.724720155934844,0.275279844065156
19,ER,GB027,-24.2601513195977,50.5880992493648,Turkic,0.5,0.5
19,ER,GB027,-24.2601513195977,50.5880992493648,Tungusic,0.5,0.5
19,ER,GB027,-24.2601513195977,50.5880992493648,Mongolic,0.5,0.5
19,ER,GB027,-24.2601513195977,50.5880992493648,Japonic,0.5,0.5
19,ER,GB027,-24.2601513195977,50.5880992493648,Koreanic,0.5,0.5
19,ARD,GB027,-24.245863708438,52.6986239686001,Turkic,0.514311724284998,0.485688275715002
19,ARD,GB027,-24.245863708438,52.6986239686001,Tungusic,0.514311724284998,0.485688275715002
19,ARD,GB027,-24.245863708438,52.6986239686001,Mongolic,0.514311724284998,0.485688275715002
19,ARD,GB027,-24.245863708438,52.6986239686001,Japonic,0.514311724284998,0.485688275715002
19,ARD,GB027,-24.245863708438,52.6986239686001,Koreanic,0.514311724284998,0.485688275715002
19,ER,GB028,-25.8629917329595,53.7937800760885,Turkic,0.99512831771965,0.00487168228034974
19,ER,GB028,-25.8629917329595,53.7937800760885,Tungusic,0.00885030407299326,0.991149695927007
19,ER,GB028,-25.8629917329595,53.7937800760885,Mongolic,0.025628680830419,0.974371319169581
19,ER,GB028,-25.8629917329595,53.7937800760885,Japonic,0.999296905784144,0.000703094215856039
19,ER,GB028,-25.8629917329595,53.7937800760885,Koreanic,0.995971564510367,0.00402843548963262
19,ARD,GB028,-20.6649518849469,45.536800321618,Turkic,0.970645497007707,0.0293545029922929
19,ARD,GB028,-20.6649518849469,45.536800321618,Tungusic,3.78601152419245e-20,1
19,ARD,GB028,-20.6649518849469,45.536800321618,Mongolic,5.50802206946079e-20,1
19,ARD,GB028,-20.6649518849469,45.536800321618,Japonic,0.99667309009222,0.00332690990778037
19,ARD,GB028,-20.6649518849469,45.536800321618,Koreanic,0.989989153269765,0.0100108467302348
19,ER,GB030,-4.46672438355947,11.0012453772884,Turkic,1,1.94841275603328e-28
19,ER,GB030,-4.46672438355947,11.0012453772884,Tungusic,1,8.34795045012729e-29
19,ER,GB030,-4.46672438355947,11.0012453772884,Mongolic,1,1.12569763089454e-28
19,ER,GB030,-4.46672438355947,11.0012453772884,Japonic,1,1.26263006757579e-19
19,ER,GB030,-4.46672438355947,11.0012453772884,Koreanic,1,3.8924381546566e-28
19,ARD,GB030,-4.46672438355947,13.1403453188431,Turkic,1,1.94841275603328e-28
19,ARD,GB030,-4.46672438355947,13.1403453188431,Tungusic,1,8.34795045012729e-29
19,ARD,GB030,-4.46672438355947,13.1403453188431,Mongolic,1,1.12569763089454e-28
19,ARD,GB030,-4.46672438355947,13.1403453188431,Japonic,1,1.26263006757579e-19
19,ARD,GB030,-4.46672438355947,13.1403453188431,Koreanic,1,3.8924381546566e-28
19,ER,GB031,-12.3975687728867,26.8629341559428,Turkic,0.999991421928117,8.57807188261456e-06
19,ER,GB031,-12.3975687728867,26.8629341559428,Tungusic,0.999996829830736,3.17016926419147e-06
19,ER,GB031,-12.3975687728867,26.8629341559428,Mongolic,0.999995343725751,4.6562742486014e-06
19,ER,GB031,-12.3975687728867,26.8629341559428,Japonic,0.999997189975792,2.81002420824848e-06
19,ER,GB031,-12.3975687728867,26.8629341559428,Koreanic,0.999986194634992,1.38053650074924e-05
19,ARD,GB031,-12.1135702125652,28.4340369768545,Turkic,0.884604856033571,0.115395143966429
19,ARD,GB031,-12.1135702125652,28.4340369768545,Tungusic,0.987052250080206,0.0129477499197939
19,ARD,GB031,-12.1135702125652,28.4340369768545,Mongolic,0.974721094315486,0.0252789056845144
19,ARD,GB031,-12.1135702125652,28.4340369768545,Japonic,0.947445984733816,0.0525540152661839
19,ARD,GB031,-12.1135702125652,28.4340369768545,Koreanic,0.992587231430107,0.00741276856989309
19,ER,GB035,-32.4363224003219,66.9404414108132,Turkic,0.194229066887999,0.805770933112001
19,ER,GB035,-32.4363224003219,66.9404414108132,Tungusic,0.989262168136163,0.0107378318638366
19,ER,GB035,-32.4363224003219,66.9404414108132,Mongolic,0.953188869313813,0.0468111306861866
19,ER,GB035,-32.4363224003219,66.9404414108132,Japonic,0.0744117287691688,0.925588271230831
19,ER,GB035,-32.4363224003219,66.9404414108132,Koreanic,0.0176332658003656,0.982366734199634
19,ARD,GB035,-29.556055531423,63.3190076145701,Turkic,1.20276742955559e-19,1
19,ARD,GB035,-29.556055531423,63.3190076145701,Tungusic,0.994518135174309,0.00548186482569102
19,ARD,GB035,-29.556055531423,63.3190076145701,Mongolic,0.946772141314972,0.0532278586850275
19,ARD,GB035,-29.556055531423,63.3190076145701,Japonic,3.42100807461111e-20,1
19,ARD,GB035,-29.556055531423,63.3190076145701,Koreanic,3.76312662532797e-19,1
19,ER,GB037,-9.65824291607939,21.3842824423283,Turkic,0.999995819579308,4.18042069178888e-06
19,ER,GB037,-9.65824291607939,21.3842824423283,Tungusic,0.999998241156942,1.75884305782229e-06
19,ER,GB037,-9.65824291607939,21.3842824423283,Mongolic,0.999997394434856,2.60556514376282e-06
19,ER,GB037,-9.65824291607939,21.3842824423283,Japonic,0.999998603667508,1.39633249210274e-06
19,ER,GB037,-9.65824291607939,21.3842824423283,Koreanic,0.999992246449837,7.75355016292279e-06
19,ARD,GB037,-8.44516823542835,21.0972330225808,Turkic,0.963463900744031,0.0365360992559692
19,ARD,GB037,-8.44516823542835,21.0972330225808,Tungusic,0.965961235800309,0.034038764199691
19,ARD,GB037,-8.44516823542835,21.0972330225808,Mongolic,0.963239826312856,0.0367601736871441
19,ARD,GB037,-8.44516823542835,21.0972330225808,Japonic,0.966831138971723,0.0331688610282769
19,ARD,GB037,-8.44516823542835,21.0972330225808,Koreanic,0.980568249692546,0.0194317503074544
19,ER,GB039,-30.5786092496206,63.2250151094106,Turkic,0.973754710681545,0.0262452893184555
19,ER,GB039,-30.5786092496206,63.2250151094106,Tungusic,0.950045056934123,0.0499549430658769
19,ER,GB039,-30.5786092496206,63.2250151094106,Mongolic,0.707528942303819,0.292471057696181
19,ER,GB039,-30.5786092496206,63.2250151094106,Japonic,0.887956914246752,0.112043085753248
19,ER,GB039,-30.5786092496206,63.2250151094106,Koreanic,0.126335346617392,0.873664653382608
19,ARD,GB039,-28.1807569117995,60.5684103753232,Turkic,0.901602778091832,0.0983972219081677
19,ARD,GB039,-28.1807569117995,60.5684103753232,Tungusic,0.818446113165651,0.181553886834349
19,ARD,GB039,-28.1807569117995,60.5684103753232,Mongolic,0.514543714014171,0.48545628598583
19,ARD,GB039,-28.1807569117995,60.5684103753232,Japonic,0.642891038580386,0.357108961419615
19,ARD,GB039,-28.1807569117995,60.5684103753232,Koreanic,0.244294122766995,0.755705877233005
19,ER,GB041,-4.2816691354168,10.6311348810031,Turkic,1,1.94841275532293e-28
19,ER,GB041,-4.2816691354168,10.6311348810031,Tungusic,1,8.34795045012729e-29
19,ER,GB041,-4.2816691354168,10.6311348810031,Mongolic,1,1.12569763133998e-28
19,ER,GB041,-4.2816691354168,10.6311348810031,Japonic,1,6.64572492335057e-29
19,ER,GB041,-4.2816691354168,10.6311348810031,Koreanic,1,3.8924381546566e-28
19,ARD,GB041,-4.2816691354168,12.7702348225577,Turkic,1,1.94841275532293e-28
19,ARD,GB041,-4.2816691354168,12.7702348225577,Tungusic,1,8.34795045012729e-29
19,ARD,GB041,-4.2816691354168,12.7702348225577,Mongolic,1,1.12569763133998e-28
19,ARD,GB041,-4.2816691354168,12.7702348225577,Japonic,1,6.64572492335057e-29
19,ARD,GB041,-4.2816691354168,12.7702348225577,Koreanic,1,3.8924381546566e-28
19,ER,GB042,-5.3007375843026,12.6692717787747,Turkic,1,1.95926570518268e-28
19,ER,GB042,-5.3007375843026,12.6692717787747,Tungusic,1,8.39444978010577e-29
19,ER,GB042,-5.3007375843026,12.6692717787747,Mongolic,1,1.13196793485556e-28
19,ER,GB042,-5.3007375843026,12.6692717787747,Japonic,1,6.68274260307748e-29
19,ER,GB042,-5.3007375843026,12.6692717787747,Koreanic,1,3.91411961612825e-28
19,ARD,GB042,-5.30073760385822,14.8083717594406,Turkic,1,1.94841275532293e-28
19,ARD,GB042,-5.30073760385822,14.8083717594406,Tungusic,1,8.34795045012729e-29
19,ARD,GB042,-5.30073760385822,14.8083717594406,Mongolic,1,1.12569763102888e-28
19,ARD,GB042,-5.30073760385822,14.8083717594406,Japonic,1,6.64572492335057e-29
19,ARD,GB042,-5.30073760385822,14.8083717594406,Koreanic,1,3.8924381546566e-28
19,ER,GB043,-4.28409601006616,10.6359886303018,Turkic,1,1.94841275532293e-28
19,ER,GB043,-4.28409601006616,10.6359886303018,Tungusic,1,8.34795045012729e-29
19,ER,GB043,-4.28409601006616,10.6359886303018,Mongolic,1,1.12569763185916e-28
19,ER,GB043,-4.28409601006616,10.6359886303018,Japonic,1,6.64572492335057e-29
19,ER,GB043,-4.28409601006616,10.6359886303018,Koreanic,1,3.8924381546566e-28
19,ARD,GB043,-4.28409601006616,12.7750885718565,Turkic,1,1.94841275532293e-28
19,ARD,GB043,-4.28409601006616,12.7750885718565,Tungusic,1,8.34795045012729e-29
19,ARD,GB043,-4.28409601006616,12.7750885718565,Mongolic,1,1.12569763185916e-28
19,ARD,GB043,-4.28409601006616,12.7750885718565,Japonic,1,6.64572492335057e-29
19,ARD,GB043,-4.28409601006616,12.7750885718565,Koreanic,1,3.8924381546566e-28
19,ER,GB044,-36.4789384870307,75.025673584231,Turkic,0.075427039459014,0.924572960540986
19,ER,GB044,-36.4789384870307,75.025673584231,Tungusic,0.143682887339948,0.856317112660052
19,ER,GB044,-36.4789384870307,75.025673584231,Mongolic,0.0548290531315794,0.945170946868421
19,ER,GB044,-36.4789384870307,75.025673584231,Japonic,0.915492809526452,0.0845071904735477
19,ER,GB044,-36.4789384870307,75.025673584231,Koreanic,0.439109296004939,0.560890703995061
19,ARD,GB044,-33.3302134491676,70.8673234500593,Turkic,0.256373573643166,0.743626426356834
19,ARD,GB044,-33.3302134491676,70.8673234500593,Tungusic,0.256373573643193,0.743626426356807
19,ARD,GB044,-33.3302134491676,70.8673234500593,Mongolic,0.256373573643166,0.743626426356834
19,ARD,GB044,-33.3302134491676,70.8673234500593,Japonic,0.256373573645597,0.743626426354403
19,ARD,GB044,-33.3302134491676,70.8673234500593,Koreanic,0.256458508865822,0.743541491134178
19,ER,GB046,-13.411041091717,28.8898787936035,Turkic,0.000524551349675905,0.999475448650324
19,ER,GB046,-13.411041091717,28.8898787936035,Tungusic,0.000582775403636795,0.999417224596363
19,ER,GB046,-13.411041091717,28.8898787936035,Mongolic,0.00944696349956728,0.990553036500433
19,ER,GB046,-13.411041091717,28.8898787936035,Japonic,0.00266128019948248,0.997338719800518
19,ER,GB046,-13.411041091717,28.8898787936035,Koreanic,0.236811896025753,0.763188103974248
19,ARD,GB046,-12.9291709464867,30.0652384446976,Turkic,0.0402140326269099,0.95978596737309
19,ARD,GB046,-12.9291709464867,30.0652384446976,Tungusic,0.0426445969462543,0.957355403053746
19,ARD,GB046,-12.9291709464867,30.0652384446976,Mongolic,0.174632922326059,0.825367077673941
19,ARD,GB046,-12.9291709464867,30.0652384446976,Japonic,0.0858582938002855,0.914141706199714
19,ARD,GB046,-12.9291709464867,30.0652384446976,Koreanic,0.443992901633574,0.556007098366426
19,ER,GB047,-9.62180443298788,21.3114054761453,Turkic,4.99716646431105e-05,0.999950028335357
19,ER,GB047,-9.62180443298788,21.3114054761453,Tungusic,2.20640604014787e-05,0.999977935939598
19,ER,GB047,-9.62180443298788,21.3114054761453,Mongolic,0.000182123487518945,0.999817876512481
19,ER,GB047,-9.62180443298788,21.3114054761453,Japonic,0.00081501370943326,0.999184986290567
19,ER,GB047,-9.62180443298788,21.3114054761453,Koreanic,7.967499768042e-05,0.99992032500232
19,ARD,GB047,-9.29876055077123,22.8044176532666,Turkic,1.21896454724677e-20,1
19,ARD,GB047,-9.29876055077123,22.8044176532666,Tungusic,5.06068677094265e-21,1
19,ARD,GB047,-9.29876055077123,22.8044176532666,Mongolic,3.64950509128242e-20,1
19,ARD,GB047,-9.29876055077123,22.8044176532666,Japonic,1.9120750694346e-19,1
19,ARD,GB047,-9.29876055077123,22.8044176532666,Koreanic,2.50183308701823e-20,1
19,ER,GB048,-19.1672338615093,40.402264333188,Turkic,0.0276715975197948,0.972328402480205
19,ER,GB048,-19.1672338615093,40.402264333188,Tungusic,0.000762806328735584,0.999237193671264
19,ER,GB048,-19.1672338615093,40.402264333188,Mongolic,0.00157156272682775,0.998428437273172
19,ER,GB048,-19.1672338615093,40.402264333188,Japonic,0.0509011188003156,0.949098881199684
19,ER,GB048,-19.1672338615093,40.402264333188,Koreanic,0.298717294259252,0.701282705740748
19,ARD,GB048,-16.5726740583284,37.352244668381,Turkic,0.158046834020037,0.841953165979963
19,ARD,GB048,-16.5726740583284,37.352244668381,Tungusic,0.158046834019055,0.841953165980945
19,ARD,GB048,-16.5726740583284,37.352244668381,Mongolic,0.158046834020037,0.841953165979963
19,ARD,GB048,-16.5726740583284,37.352244668381,Japonic,0.158046834074006,0.841953165925994
19,ARD,GB048,-16.5726740583284,37.352244668381,Koreanic,0.158692486310761,0.841307513689239
19,ER,GB049,-14.3797687639409,30.8273341380514,Turkic,0.00260399645695073,0.997396003543049
19,ER,GB049,-14.3797687639409,30.8273341380514,Tungusic,0.000115106485949374,0.999884893514051
19,ER,GB049,-14.3797687639409,30.8273341380514,Mongolic,0.000694555054858858,0.999305444945141
