ID,Language_ID,Parameter_ID,Value,Code_ID,Comment,Source,Examples
GB020-torg1245,torg1245,GB020,0,GB020-0,,hh:s:Blasing:Kalmuck[229-246],
GB021-torg1245,torg1245,GB021,0,GB021-0,,hh:s:Blasing:Kalmuck[229-246],
GB022-torg1245,torg1245,GB022,0,GB022-0,,hh:s:Blasing:Kalmuck[229-246],
GB023-torg1245,torg1245,GB023,0,GB023-0,,hh:s:Blasing:Kalmuck[229-246],
GB024-torg1245,torg1245,GB024,1,GB024-1,,hh:s:Pyurbeev:Kalmytskij[85],
GB025-torg1245,torg1245,GB025,1,GB025-1,,hh:g:Benzing:Kalmuckische[133],
GB026-torg1245,torg1245,GB026,?,,,hh:s:Blasing:Kalmuck[229-246],
GB027-torg1245,torg1245,GB027,?,,,hh:s:Pyurbeev:Kalmytskij[79],torg1245-GB027-1 torg1245-GB027-2
GB028-torg1245,torg1245,GB028,0,GB028-0,,hh:s:Blasing:Kalmuck[238-239],
GB030-torg1245,torg1245,GB030,0,GB030-0,,hh:s:Pyurbeev:Kalmytskij[78-79],torg1245-GB030-1 torg1245-GB030-2
GB031-torg1245,torg1245,GB031,0,GB031-0,,hh:s:Pyurbeev:Kalmytskij[83],
GB035-torg1245,torg1245,GB035,0,GB035-0,,hh:g:Benzing:Kalmuckische[133],torg1245-GB035-1 torg1245-GB035-2
GB036-torg1245,torg1245,GB036,0,GB036-0,,hh:s:Pyurbeev:Kalmytskij[80],
GB037-torg1245,torg1245,GB037,0,GB037-0,,hh:s:Pyurbeev:Kalmytskij[80],
GB038-torg1245,torg1245,GB038,0,GB038-0,,hh:s:Blasing:Kalmuck[229-246],
GB039-torg1245,torg1245,GB039,1,GB039-1,,hh:g:Benzing:Kalmuckische[118];hh:s:Pyurbeev:Kalmytskij[78],
GB041-torg1245,torg1245,GB041,0,GB041-0,,hh:s:Pyurbeev:Kalmytskij[78],
GB042-torg1245,torg1245,GB042,0,GB042-0,,hh:s:Pyurbeev:Kalmytskij[78],
GB043-torg1245,torg1245,GB043,0,GB043-0,,hh:s:Pyurbeev:Kalmytskij[78],
GB044-torg1245,torg1245,GB044,1,GB044-1,,hh:s:Pyurbeev:Kalmytskij[78],torg1245-GB044-1
GB046-torg1245,torg1245,GB046,?,,,hh:g:Benzing:Kalmuckische[119],
GB047-torg1245,torg1245,GB047,1,GB047-1,,hh:s:Blasing:Kalmuck[233],torg1245-GB047-1 torg1245-GB047-2 torg1245-GB047-3 torg1245-GB047-4
GB048-torg1245,torg1245,GB048,?,,,hh:s:Blasing:Kalmuck[233],torg1245-GB048-1 torg1245-GB048-2 torg1245-GB048-3
