Tree,Feature,D,PVal1,PVal0
87,GB020,0.711918220172064,0.192,0.195
87,GB021,1.19904155038011,0.525,0.171
87,GB022,0.626379775624077,0.05,0.01
87,GB023,-0.0572432433616174,0.008,0.581
87,GB026,-0.150805396388621,0.003,0.626
87,GB027,0.826648027191519,0.254,0.016
87,GB028,-0.204952406148497,0,0.75
87,GB030,0.67704068925552,0.393,0.463
87,GB031,0.171264566139758,0.071,0.449
87,GB035,0.0482142831042009,0,0.451
87,GB037,1.24314607893358,0.585,0.15
87,GB039,0.0813690167067393,0,0.416
87,GB041,0.414760211948725,0.31,0.558
87,GB042,1.81225618269392,0.686,0.279
87,GB043,1.24353631859144,0.434,0.42
87,GB044,0.314606830356946,0.002,0.145
87,GB046,0.183300964612474,0.067,0.419
87,GB047,-0.201541097083606,0.059,0.61
87,GB048,0.436558086049399,0.097,0.233
87,GB049,0.386812112196636,0.089,0.285
87,GB057,-0.108263924877991,0,0.645
87,GB059,-0.49837688806472,0,0.902
87,GB068,-0.162107886859443,0,0.69
87,GB069,-0.684455769788147,0,0.955
87,GB070,-0.366875496640765,0.022,0.701
87,GB071,-0.774912785478789,0.028,0.761
87,GB072,-0.33344838003517,0.03,0.694
87,GB073,-5.113630534513,0,0.838
87,GB074,0.59753602868277,0.318,0.537
87,GB075,-4.65868932804576,0,0.85
87,GB079,0.708102675136123,0.266,0.602
87,GB080,-6.13501273777478,0,0.877
87,GB082,1.17337492905955,0.748,0
87,GB083,0.631247244232266,0.142,0.226
87,GB084,0.160929567933216,0,0.281
87,GB086,0.417068296636077,0.008,0.097
87,GB089,-0.376237300928246,0,0.92
87,GB091,-0.416332748227777,0,0.932
87,GB103,-0.0250973682322544,0.14,0.539
87,GB105,0.487364778196958,0.084,0.206
87,GB107,-0.360714573412014,0,0.878
87,GB108,-0.126438020307245,0,0.633
87,GB110,2.88858589894242,0.696,0.179
87,GB111,-0.893367278231265,0,0.993
87,GB113,-7.44082151965375,0,0.862
87,GB114,-0.595229298675505,0,0.956
87,GB115,0.219201430327285,0.005,0.297
