"ID","Feature","Value","Source","Comment","Glottocode","PoS","Function","Level"
"GB020","Are there definite or specific articles?","0","Shiraliev (1997:165)","","Azerbaijani [azj] [nort2697].tsv","article","deixis","NP"
"GB021","Do indefinite nominals commonly have indefinite articles?","0","Shiraliev (1997:165)","","Azerbaijani [azj] [nort2697].tsv","article","deixis","NP"
"GB022","Are there prenominal articles?","0","Shiraliev (1997:165)","","Azerbaijani [azj] [nort2697].tsv","article","deixis","NP"
"GB023","Are there postnominal articles?","0","Shiraliev (1997:165)","","Azerbaijani [azj] [nort2697].tsv","article","deixis","NP"
"GB026","Can adnominal property words occur discontinuously?","0","Mehraliev (p.c. 2017)","","Azerbaijani [azj] [nort2697].tsv","not assignable","word order","NP"
"GB027","Are nominal conjunction and comitative expressed by different elements?","1","Mehraliev (p.c. 2017)","","Azerbaijani [azj] [nort2697].tsv","multiple","argument marking (non-core)","NP"
"GB028","Is there an inclusive/exclusive distinction?","0","Shiraliev (1971:1-407)","","Azerbaijani [azj] [nort2697].tsv","pronoun","deixis","word"
"GB030","Is there a gender distinction in independent 3rd person pronouns?","0","Shiraliev (1971:79)","","Azerbaijani [azj] [nort2697].tsv","pronoun","deixis","word"
"GB031","Is there a dual or unit augmented form (in addition to plural or augmented) for all person categories in the pronoun system?","0","Shiraliev (1971:79)","","Azerbaijani [azj] [nort2697].tsv","pronoun","deixis","word"
"GB035","Are there three or more distance contrasts in demonstratives?","0","Shiraliev (1971:82); Shiraliev (1997:165-166)","","Azerbaijani [azj] [nort2697].tsv","demonstrative","deixis","word"
"GB036","Do demonstratives show an elevation distinction?","0","Shiraliev (1971:82); Shiraliev (1997:165-166)","","Azerbaijani [azj] [nort2697].tsv","demonstrative","deixis","word"
"GB037","Do demonstratives show a visible-nonvisible distinction?","0","Shiraliev (1971:82); Shiraliev (1997:165-166)","","Azerbaijani [azj] [nort2697].tsv","demonstrative","deixis","word"
"GB038","Are there demonstrative classifiers?","0","Shiraliev (1971:1-407)","","Azerbaijani [azj] [nort2697].tsv","noun","deixis","word"
