Function & MedianRateGain & MedianRateLoss & MedianD
argument marking (core) & -5.44 & -1.46 & -0.42
argument marking (non-core) & -10 & -1.31 & -0.07
deixis & -0.52 & 0.27 & 0.15
derivation & -10 & -1.05 & 0.16
interrogation & 0.68 & 0.97 & 0.84
modification & -0.87 & -0.82 & -0.41
negation & -0.57 & -0.59 & 0.08
other & -5.52 & -0.85 & 0.03
phonological distinctiveness & -1.02 & -0.36 & -0.22
possession & -0.74 & -0.38 & 0.04
quantification & -0.82 & -0.44 & 0.79
TAME+ & -0.22 & 0.02 & 0.6
valency & -1.05 & -1.15 & -0.29
word order & -1.17 & -0.52 & -0.06
