ID,Value,Source
nort2697-GB020,0,Shiraliev (1997:165)
nort2697-GB021,0,Shiraliev (1997:165)
nort2697-GB022,0,Shiraliev (1997:165)
nort2697-GB023,0,Shiraliev (1997:165)
nort2697-GB026,0,Mehraliev (p.c. 2017)
nort2697-GB027,1,Mehraliev (p.c. 2017)
nort2697-GB028,0,Shiraliev (1971:1-407)
nort2697-GB030,0,Shiraliev (1971:79)
nort2697-GB031,0,Shiraliev (1971:79)
nort2697-GB035,0,Shiraliev (1971:82); Shiraliev (1997:165-166)
nort2697-GB036,0,Shiraliev (1971:82); Shiraliev (1997:165-166)
nort2697-GB037,0,Shiraliev (1971:82); Shiraliev (1997:165-166)
nort2697-GB038,0,Shiraliev (1971:1-407)
nort2697-GB039,0,Shiraliev (1997:163)
nort2697-GB041,0,Shiraliev (1971:42-43)
nort2697-GB042,0,Shiraliev (1997:163)
nort2697-GB043,0,Shiraliev (1997:163)
nort2697-GB044,1,Shiraliev (1997:163)
nort2697-GB046,1,Shiraliev (1997:163)
nort2697-GB047,1,Shiraliev (1971:54-55); Shiraliev (1997:166)
nort2697-GB048,1,Shiraliev (1971:53)
nort2697-GB049,1,Shiraliev (1971:55)
nort2697-GB051,0,Shiraliev (1997:163)
nort2697-GB052,0,Shiraliev (1997:163)
nort2697-GB053,0,Shiraliev (1997:163)
nort2697-GB054,0,Shiraliev (1997:163)
nort2697-GB057,0,Shiraliev (1971:1-407)
nort2697-GB058,0,Shiraliev (1971:1-407)
nort2697-GB059,0,Shiraliev (1971:49-51); Shiraliev (1997:163-164)
nort2697-GB068,0,Shiraliev (1997:166)
nort2697-GB069,0,Shiraliev (1997:166)
nort2697-GB070,1,Shiraliev (1997:163)
nort2697-GB071,1,Shiraliev (1971:80-81)
nort2697-GB072,1,Shiraliev (1997:163)
nort2697-GB073,1,Shiraliev (1971:80-81)
nort2697-GB074,0,Shiraliev (1971:159-167); Shiraliev (1997:167)
nort2697-GB075,1,Shiraliev (1971:159-167); Shiraliev (1997:167)
nort2697-GB079,0,Shiraliev (1971:1-407)
nort2697-GB080,1,Shiraliev (1971:94-146)
nort2697-GB081,0,Shiraliev (1971:1-407)
nort2697-GB082,1,Shiraliev (1997:165)
nort2697-GB083,1,Shiraliev (1971:123); Shiraliev (1997:165)
nort2697-GB084,1,Shiraliev (1997:165)
nort2697-GB086,0,Shiraliev (1971:101, 137); Shiraliev (1997:165)
nort2697-GB089,1,Shiraliev (1971:110-112, 213); Shiraliev (1997:168)
nort2697-GB090,0,Shiraliev (1971:110-112, 213); Shiraliev (1997:168)
nort2697-GB091,1,Shiraliev (1971:110-112, 213); Shiraliev (1997:168)
nort2697-GB092,0,Shiraliev (1971:110-112, 213); Shiraliev (1997:168)
nort2697-GB093,0,Shiraliev (1971:110-112, 213); Shiraliev (1997:168)
nort2697-GB094,0,Shiraliev (1971:110-112, 213); Shiraliev (1997:168)
nort2697-GB095,0,Shiraliev (1971:1-407)
nort2697-GB096,0,Shiraliev (1971:1-407)
nort2697-GB098,0,Shiraliev (1971:1-407)
nort2697-GB099,0,Shiraliev (1971:110-112)
nort2697-GB103,0,Shiraliev (1971:1-407)
nort2697-GB104,0,Shiraliev (1971:1-407)
nort2697-GB105,?,Shiraliev (1971:1-407)
nort2697-GB107,1,Shiraliev (1971:100); Shiraliev (1997:166)
nort2697-GB108,0,Shiraliev (1971:1-407)
nort2697-GB109,0,Shiraliev (1971:110-112)
nort2697-GB110,0,Shiraliev (1971:100-106, 123-138)
nort2697-GB111,0,Shiraliev (1971:1-407)
nort2697-GB113,1,Shiraliev (1971:109)
nort2697-GB114,1,Shiraliev (1971:107); Shiraliev (1997:164)
nort2697-GB115,1,Shiraliev (1971:108); Shiraliev (1997:164)
nort2697-GB116,0,Shiraliev (1971:1-407)
nort2697-GB117,1,Shiraliev (1971:275)
nort2697-GB118,0,Shiraliev (1971:1-407)
nort2697-GB119,1,Shiraliev (1971:100)
nort2697-GB120,1,Shiraliev (1971:101-103); Shiraliev (1997:164)
nort2697-GB121,1,Shiraliev (1971:118, 128-129)
nort2697-GB122,0,Shiraliev (1971:1-407)
nort2697-GB123,1,Shiraliev (1971:98-99)
nort2697-GB124,0,Shiraliev (1971:1-407)
nort2697-GB126,1,Mehraliev (p.c. 2017)
nort2697-GB127,0,Mehraliev (p.c. 2017)
nort2697-GB129,0,Shiraliev (1971:1-407)
nort2697-GB131,0,Shiraliev (1997:169)
nort2697-GB132,0,Shiraliev (1997:169)
nort2697-GB133,1,Shiraliev (1997:169)
nort2697-GB134,1,Shiraliev (1971:385-389)
nort2697-GB135,0,Shiraliev (1971:390-391)
nort2697-GB136,1,Shiraliev (1997:169)
nort2697-GB137,1,Shiraliev (1997:166)
nort2697-GB138,0,Shiraliev (1997:166)
nort2697-GB139,1,Mehraliev (p.c. 2017)
nort2697-GB140,0,Shiraliev (1997:166)
nort2697-GB146,0,Mehraliev (p.c. 2017)
nort2697-GB147,1,Shiraliev (1971:106-107); Shiraliev (1997:164)
nort2697-GB148,0,Shiraliev (1971:1-407)
nort2697-GB149,0,Shiraliev (1971:1-407)
nort2697-GB150,1,Shiraliev (1971:144)
nort2697-GB151,0,Shiraliev (1971:1-407)
nort2697-GB152,0,Shiraliev (1971:142-146)
nort2697-GB155,1,Shiraliev (1971:109); Shiraliev (1997:164)
nort2697-GB156,0,Shiraliev (1971:1-407)
nort2697-GB158,0,Shiraliev (1971:102)
nort2697-GB159,?,Shiraliev (1971:43)
nort2697-GB160,1,Shiraliev (1971:152-153)
nort2697-GB165,0,Shiraliev (1997:163)
nort2697-GB166,0,Shiraliev (1997:163)
nort2697-GB167,0,Shiraliev (1971:79)
nort2697-GB170,0,Shiraliev (1997:163)
nort2697-GB171,0,Shiraliev (1997:163)
nort2697-GB172,0,Shiraliev (1997:163)
nort2697-GB177,0,Shiraliev (1971:1-407)
nort2697-GB184,0,Shiraliev (1971:59-60)
nort2697-GB185,0,Shiraliev (1971:82); Shiraliev (1997:165-166)
nort2697-GB186,0,Shiraliev (1997:165)
nort2697-GB187,1,Mehraliev (p.c. 2017)
nort2697-GB188,0,Mehraliev (p.c. 2017)
nort2697-GB192,0,Shiraliev (1997:163)
nort2697-GB196,0,Shiraliev (1971:79)
nort2697-GB197,0,Shiraliev (1971:79)
nort2697-GB198,0,Shiraliev (1997:163)
